Organization ,pubs1990 ,pubs1991 ,pubs1992 ,pubs1993 ,pubs1994 ,pubs1995 ,pubs1996 ,pubs1997 ,pubs1998 ,pubs1999 ,pubs2000 ,pubs2001 ,pubs2002 ,pubs2003 ,pubs2004 ,pubs2005 ,pubs2006 ,pubs2007 ,pubs2008 ,pubs2009 ,pubs2010 ,pubs2011 ,pubs2012 ,pubs2013 ,pubs2014 ,pubs2015 ,pubs2016 ,pubs2017 ,pubs2018 
New York University (NYU),9 ,6 ,4 ,15 ,7 ,14 ,17 ,10 ,6 ,14 ,12 ,16 ,14 ,16 ,13 ,15 ,11 ,18 ,12 ,20 ,12 ,28 ,18 ,16 ,17 ,11 ,21 ,15 ,10 
"Chicago, U. of",14 ,11 ,12 ,5 ,10 ,9 ,7 ,11 ,14 ,6 ,15 ,10 ,15 ,8 ,7 ,14 ,14 ,9 ,14 ,21 ,20 ,13 ,19 ,16 ,17 ,15 ,15 ,13 ,13 
Harvard University - Cambridge,9 ,4 ,8 ,9 ,7 ,4 ,5 ,9 ,7 ,4 ,10 ,14 ,21 ,12 ,11 ,16 ,15 ,10 ,13 ,28 ,20 ,21 ,15 ,16 ,13 ,15 ,11 ,5 ,13 
"Pennsylvania, U. of (Wharton)",10 ,12 ,10 ,5 ,6 ,16 ,10 ,8 ,6 ,15 ,14 ,16 ,14 ,6 ,7 ,11 ,12 ,9 ,7 ,17 ,11 ,25 ,16 ,14 ,13 ,11 ,13 ,14 ,13 
"California, U. of - Los Angeles (UCLA)",4 ,10 ,9 ,8 ,4 ,5 ,5 ,9 ,4 ,3 ,7 ,14 ,8 ,7 ,13 ,10 ,5 ,7 ,8 ,15 ,9 ,9 ,4 ,9 ,7 ,8 ,4 ,9 ,9 
"Michigan, U. of - Ann Arbor",9 ,10 ,7 ,11 ,8 ,4 ,5 ,7 ,7 ,7 ,7 ,6 ,0,6 ,7 ,10 ,4 ,13 ,14 ,12 ,11 ,7 ,4 ,6 ,8 ,5 ,6 ,7 ,9 
Duke University,6 ,5 ,6 ,5 ,2 ,3 ,4 ,7 ,4 ,5 ,6 ,8 ,6 ,7 ,11 ,10 ,9 ,7 ,15 ,8 ,11 ,11 ,9 ,14 ,5 ,9 ,8 ,5 ,10 
Massachusetts Inst. of Tech. (MIT),6 ,7 ,5 ,2 ,3 ,6 ,1 ,1 ,4 ,6 ,11 ,5 ,10 ,7 ,6 ,5 ,8 ,10 ,7 ,5 ,7 ,16 ,11 ,11 ,13 ,9 ,10 ,14 ,10 
Columbia University - NY,4 ,5 ,5 ,4 ,6 ,5 ,4 ,4 ,8 ,4 ,6 ,10 ,6 ,4 ,6 ,6 ,4 ,7 ,11 ,8 ,9 ,16 ,11 ,10 ,11 ,8 ,12 ,9 ,7 
Ohio State University - Columbus,10 ,5 ,7 ,4 ,9 ,3 ,6 ,10 ,2 ,7 ,2 ,3 ,4 ,3 ,2 ,11 ,7 ,10 ,3 ,14 ,9 ,9 ,13 ,10 ,6 ,6 ,10 ,10 ,11 
Northwestern University,3 ,3 ,10 ,8 ,1 ,8 ,5 ,7 ,13 ,1 ,1 ,8 ,10 ,5 ,6 ,2 ,3 ,5 ,5 ,9 ,14 ,7 ,8 ,9 ,6 ,10 ,10 ,10 ,8 
Stanford University,5 ,5 ,3 ,0,0,3 ,8 ,6 ,2 ,6 ,11 ,3 ,9 ,5 ,6 ,8 ,2 ,11 ,8 ,7 ,18 ,8 ,7 ,6 ,10 ,8 ,7 ,14 ,8 
London Business School,0,3 ,0,1 ,4 ,1 ,3 ,3 ,3 ,7 ,3 ,6 ,7 ,5 ,5 ,11 ,6 ,8 ,5 ,9 ,8 ,6 ,12 ,12 ,10 ,5 ,4 ,8 ,7 
"North Carolina, U. of - Chapel Hill",0,4 ,0,1 ,3 ,1 ,4 ,3 ,2 ,7 ,3 ,9 ,7 ,10 ,3 ,6 ,2 ,9 ,2 ,5 ,9 ,10 ,9 ,13 ,8 ,11 ,5 ,8 ,8 
"California, U. of - Berkeley",2 ,0,0,1 ,4 ,7 ,3 ,4 ,3 ,2 ,4 ,2 ,2 ,3 ,4 ,7 ,3 ,9 ,6 ,14 ,9 ,9 ,7 ,10 ,9 ,8 ,10 ,9 ,4 
"Texas, U. of - Austin",3 ,1 ,1 ,0,1 ,1 ,2 ,10 ,1 ,4 ,2 ,5 ,4 ,9 ,5 ,4 ,6 ,13 ,7 ,11 ,8 ,5 ,12 ,8 ,5 ,8 ,8 ,5 ,6 
"Southern California, U. of (USC)",5 ,6 ,4 ,3 ,6 ,3 ,3 ,8 ,6 ,0,5 ,0,4 ,2 ,2 ,4 ,9 ,4 ,5 ,8 ,12 ,1 ,4 ,8 ,10 ,7 ,7 ,7 ,9 
