organization,year,pubs,trailingpubs,rank,rank_unique
"ALBA Graduate Business School",1990,0,0,99,324
"ALBA Graduate Business School",1991,0,0,141,509
"ALBA Graduate Business School",1992,0,0,165,262
"ALBA Graduate Business School",1993,0,0,159,332
"ALBA Graduate Business School",1994,0,0,164,527
"ALBA Graduate Business School",1995,0,0,164,638
"ALBA Graduate Business School",1996,0,0,171,379
"ALBA Graduate Business School",1997,0,0,180,221
"ALBA Graduate Business School",1998,0,0,194,464
"ALBA Graduate Business School",1999,0,0,202,600
"ALBA Graduate Business School",2000,0,0,203,532
"ALBA Graduate Business School",2001,0,0,191,396
"ALBA Graduate Business School",2002,0,0,187,221
"ALBA Graduate Business School",2003,0,0,193,549
"ALBA Graduate Business School",2004,0,0,205,243
"ALBA Graduate Business School",2005,0,0,209,226
"ALBA Graduate Business School",2006,0,0,211,328
"ALBA Graduate Business School",2007,0,0,224,582
"ALBA Graduate Business School",2008,1,1,149,230
"ALBA Graduate Business School",2009,0,1,169,228
"ALBA Graduate Business School",2010,0,1,178,186
"ALBA Graduate Business School",2011,0,0,302,335
"ALBA Graduate Business School",2012,1,1,183,223
"ALBA Graduate Business School",2013,0,1,188,252
"ALBA Graduate Business School",2014,0,1,182,262
"ALBA Graduate Business School",2015,0,0,306,501
"ALBA Graduate Business School",2016,0,0,325,361
"ALBA Graduate Business School",2017,0,0,344,564
"ALBA Graduate Business School",2018,0,0,360,379
"Aalto University",1990,0,0,99,566
"Aalto University",1991,0,0,141,152
"Aalto University",1992,0,0,165,639
"Aalto University",1993,0,0,159,323
"Aalto University",1994,0,0,164,335
"Aalto University",1995,0,0,164,534
"Aalto University",1996,0,0,171,627
"Aalto University",1997,0,0,180,242
"Aalto University",1998,0,0,194,362
"Aalto University",1999,0,0,202,459
"Aalto University",2000,0,0,203,349
"Aalto University",2001,0,0,191,527
"Aalto University",2002,0,0,187,423
"Aalto University",2003,0,0,193,202
"Aalto University",2004,0,0,205,352
"Aalto University",2005,0,0,209,382
"Aalto University",2006,0,0,211,420
"Aalto University",2007,0,0,224,377
"Aalto University",2008,0,0,253,561
"Aalto University",2009,0,0,288,633
"Aalto University",2010,0,0,299,325
"Aalto University",2011,3,3,118,122
"Aalto University",2012,3,6,80,85
"Aalto University",2013,0,6,79,80
"Aalto University",2014,1,4,106,112
"Aalto University",2015,1,2,136,181
"Aalto University",2016,1,3,125,146
"Aalto University",2017,1,3,128,133
"Aalto University",2018,3,5,98,107
"Aarhus University",1990,0,0,99,319
"Aarhus University",1991,0,0,141,375
"Aarhus University",1992,0,0,165,550
"Aarhus University",1993,0,0,159,397
"Aarhus University",1994,0,0,164,580
"Aarhus University",1995,0,0,164,384
"Aarhus University",1996,0,0,171,504
"Aarhus University",1997,1,1,100,172
"Aarhus University",1998,1,2,65,90
"Aarhus University",1999,0,2,78,104
"Aarhus University",2000,0,1,103,177
"Aarhus University",2001,0,0,191,341
"Aarhus University",2002,0,0,187,636
"Aarhus University",2003,0,0,193,616
"Aarhus University",2004,0,0,205,442
"Aarhus University",2005,0,0,209,267
"Aarhus University",2006,0,0,211,395
"Aarhus University",2007,0,0,224,622
"Aarhus University",2008,0,0,253,354
"Aarhus University",2009,0,0,288,408
"Aarhus University",2010,1,1,178,202
"Aarhus University",2011,0,1,183,261
"Aarhus University",2012,0,1,183,266
"Aarhus University",2013,0,0,302,486
"Aarhus University",2014,1,1,182,295
"Aarhus University",2015,1,2,136,173
"Aarhus University",2016,0,2,149,156
"Aarhus University",2017,0,1,215,295
"Aarhus University",2018,1,1,217,241
"Aberdeen, University of",1990,0,0,99,440
"Aberdeen, University of",1991,0,0,141,199
"Aberdeen, University of",1992,0,0,165,293
"Aberdeen, University of",1993,0,0,159,502
"Aberdeen, University of",1994,0,0,164,383
"Aberdeen, University of",1995,0,0,164,494
"Aberdeen, University of",1996,0,0,171,426
"Aberdeen, University of",1997,0,0,180,323
"Aberdeen, University of",1998,0,0,194,243
"Aberdeen, University of",1999,0,0,202,218
"Aberdeen, University of",2000,0,0,203,520
"Aberdeen, University of",2001,0,0,191,380
"Aberdeen, University of",2002,0,0,187,541
